	ALL SEASONS	ONLY SEASONS 1 AND 2	ONLY SEASONS 1 2 AND 3	REMOVED SEASONS 1 AND 2	REMOVED SEASONS 1 2 AND 3	REMOVED SEASON =  0	REMOVED SEASON =  1	REMOVED SEASON =  2	REMOVED SEASON =  3	REMOVED SEASON =  4	REMOVED SEASON =  5	REMOVED SEASON =  6	REMOVED SEASON =  7	REMOVED SEASON =  8	REMOVED SEASON =  9
Wmodel = 1															
Gamma = -2.2	12.1560290797998	17.0830660198142	17.7060697866831	7.27020183061804	7.27020183061804	14.1479738901255	9.65062322129527	6.76860514167498	14.0555982151405	16.4324278245461	17.8849552047991	15.5707668689253	13.4185808094561	13.7155069869311	13.4385817275979
Gamma = -2.53	14.8446579628351	16.8520476675889	16.4776426708651	8.92999552268882	8.92999552268882	16.8592124203325	12.6794384340703	9.56001030818906	16.9855962952198	18.4134643143955	20.3831495619341	17.8418007089025	15.193269236013	15.7147560788072	15.3309360580463
Gamma = -3	16.1083989295089	1.30374169349183	0.0306868024760959	0.166818550483671	0.166818550483671	17.6599364746473	14.7718912595205	11.2534514899078	17.8115388215513	18.0573008752862	20.4449363947295	17.9266150132673	15.0576202535805	15.6392110150655	15.7238010889101
															
Wmodel = 1/d2															
Gamma = -2.2	1.29555397581276	3.71283437611086	5.7429623267926	0.958264740130652	0.958264740130652	1.5476236397153	0.414166876673041	0.277011792738534	1.413917292958	3.37726605011104	4.13055983464417	1.52201388498761	3.42046068006127	4.05341160601611	0.847439108910932
Gamma = -2.53	3.17803424415566	4.38088472583136	6.15609443349751	1.77328917337348	1.77328917337348	3.5594335005828	1.62815583600555	1.26041721790775	3.19121158134368	5.56996107452089	5.56556174753455	2.91897563597455	4.8946903856478	5.37102648784092	2.25377566906216
Gamma = -3	4.66754714679605	-1.69340763677679E-09	-2.64984012549403E-09	-2.86773116408356E-09	-2.86773116408356E-09	4.96496391471872	3.00867999241058	2.27941017835672	4.32098944741518	6.45013598014298	5.5661202580025	3.33312611063003	5.16703536300961	5.32945183522844	3.47270096243225
															
Wmodel = s1400															
Gamma = -2.2	4.65339567910351	8.62490790526178	9.96111700885149	4.86740691008023	4.86740691008023	5.89951596671683	4.05594760000645	3.77815550415224	4.87607880955486	6.93173391380709	8.90913151656578	3.91135192818945	6.85172912820792	9.28745103084743	1.6694147454405
Gamma = -2.53	6.82415641768421	7.74050600769408	8.75478095425511	4.96899887500882	4.96899887500882	8.19565313546652	6.39833527900858	5.3022086847422	6.82838391823631	8.74717438545531	10.6205318594228	5.41321353907969	8.65421317267556	10.7965076552028	2.69531937883747
Gamma = -3	7.3813863344546	-7.22605310535962E-10	-2.00500505225446E-09	-1.91137794623022E-09	-1.91137794623022E-09	8.6928686980154	7.33695248220539	5.5666269118674	7.09725096859769	8.47775526227343	10.0154504504343	5.42057238728141	8.36686994662175	9.95661951605608	2.91301898790816
