#;NAME;Gl;Gb;RAJD;DECJD;P0;
290;B0611+22;188.795;2.394;93.57085750;22.49912444;0.334960;
291;J0614-3329;240.501;-21.827;93.54311583;-33.49836611;0.003149;
292;J0614+83;130.353;25.833;93.50000000;83.23333333;1.039203;
293;J0621+0336;206.246;-5.058;95.29675417;3.61264444;0.269954;
294;J0621+1002;200.570;-2.013;95.34214317;10.04409311;0.028854;
295;J0621+2514;187.120;5.073;95.29522583;25.23439722;0.002722;
296;J0621-55;264.804;-26.411;95.17500000;-56.08333333;*;
297;J0622+3749;175.877;10.958;95.54379167;37.82044444;0.333208;
298;J0623+0340;206.497;-4.459;95.94482917;3.66855556;0.613760;
299;B0621-04;213.792;-8.036;96.08345088;-4.41401459;1.039076;
300;J0625+10;200.878;-0.956;96.43750000;10.26666667;0.498397;
301;J0627+0649;204.166;-2.085;96.97345250;6.83170278;0.346523;
302;J0627+0706;203.902;-1.991;96.93405000;7.10916667;0.475885;
303;J0627+16;195.793;2.124;96.80416667;16.20000000;2.180000;
304;J0628+0909;202.190;-0.851;97.15076250;9.15386111;1.241421;
305;B0626+24;188.817;6.223;97.27386375;24.26154056;0.476623;
306;J0630-0046;211.220;-5.020;97.61231667;-0.76829167;0.680575;
307;J0630+19;193.071;4.303;97.51666667;19.61666667;1.248550;
308;B0628-28;236.952;-16.758;97.70585164;-28.57854967;1.244419;
309;J0631+0646;204.678;-1.238;97.96825000;6.77061111;0.110979;
310;J0631+1036;201.219;0.450;97.86468333;10.61736111;0.287816;
311;J0633+0632;205.093;-0.932;98.43420833;6.54302778;0.297395;
312;J0633+1746;195.134;4.266;98.47563750;17.77025250;0.237099;
313;J0633-2015;229.260;-12.968;98.28691667;-20.25197222;3.253211;
314;J0635+0533;206.151;-1.043;98.82500000;5.55305556;0.033856;
315;J0636-23;232.113;-13.492;99.00000000;-23.00000000;0.476000;
316;J0636-3044;239.683;-16.344;99.28750000;-30.84500000;0.003946;
317;J0636-4549;254.547;-21.547;99.14060000;-45.82572778;1.984597;
318;J0636+5128;163.909;18.643;99.02019777;51.48332374;0.002869;
319;J0637+0332g;208.218;-1.443;99.42083333;3.53333333;0.000000;
320;J0641+07;204.882;1.252;100.29166667;7.73333333;*;
321;J0645+5158;163.963;20.251;101.49617629;51.97080920;0.008853;
322;J0645+80;133.945;26.465;101.50000000;80.15000000;0.657873;
323;J0646+0905;204.271;3.051;101.62927083;9.09711111;0.903913;
324;J0646-54;264.400;-22.600;101.59333333;-54.88250000;0.002510;
325;J0647+0913;204.233;3.277;101.81533333;9.23319444;1.234854;
326;J0648-27;237.001;-12.645;102.00000000;-27.00000000;4.169000;
327;J0652-0142;214.538;-0.613;103.04627500;-1.70841667;0.924054;
328;J0653+06;218.690;-2.507;103.25000000;-6.26666667;0.790000;
329;J0653+4706;169.259;19.783;103.27422083;47.10747778;0.004758;
330;B0643+80;133.178;26.828;103.31287500;80.86672778;1.214441;
331;J0656-2228;233.655;-8.982;104.12586250;-22.47376389;1.224754;
332;J0656-5449;264.795;-21.141;104.20412500;-54.82081111;0.183157;
333;J0658+0022;213.374;1.688;104.56337083;0.37647222;0.563295;
334;J0658+2936;186.671;14.275;104.43591667;29.60805556;0.823701;
335;B0656+14;201.108;8.258;104.95081667;14.23872222;0.384929;
336;J0659-36;246.437;-14.139;104.75000000;-36.00000000;0.637000;
337;B0655+64;151.551;25.237;105.15750833;64.30311111;0.195671;
338;J0702-4956;260.190;-18.723;105.66375000;-49.94283333;0.665994;
339;J0709+0458;210.498;6.200;107.28485579;4.98097058;0.034429;
340;J0709-5923;270.029;-20.899;107.38555417;-59.39877778;0.485268;
341;J0711+0931;206.674;8.776;107.90075000;9.52361111;1.214090;
342;J0711-6830;279.531;-23.280;107.97575018;-68.51315682;0.005491;
343;J0719-2545;238.934;-5.826;109.78075000;-25.75006389;0.974725;
344;J0720-3125;244.158;-8.165;110.10400833;-31.43057861;8.391116;
345;J0721-2038;234.669;-2.922;110.42876958;-20.63529472;0.015542;
346;J0723-2050;234.992;-2.733;110.77000000;-20.83111111;0.711540;
347;J0725-1635;231.473;-0.330;111.25168397;-16.59605977;0.424311;
348;J0726-2612;240.079;-4.644;111.53383333;-26.21058333;3.442308;
349;J0729-1448;230.392;1.424;112.31854167;-14.81022222;0.251709;
350;B0727-18;233.760;-0.341;112.38473708;-18.61173444;0.510160;
351;J0732+2314;195.931;19.035;113.15631500;23.24839167;0.004090;
352;J0733-2345;238.713;-2.030;113.35250000;-23.76561111;1.796250;
353;J0734-1559;232.062;2.016;113.69039583;-15.98840000;0.156250;
354;J0736-6304;274.881;-19.153;114.08337500;-63.07111111;4.862874;
355;J0737-2202;237.685;-0.318;114.43362917;-22.03481111;0.320366;
356;J0737-3039A;245.236;-4.505;114.46353508;-30.66130953;0.022699;
357;J0737-3039B;245.236;-4.505;114.46353508;-30.66130953;2.773461;
358;B0736-40;254.193;-9.192;114.63442500;-40.71095000;0.374921;
359;J0738+6904;146.593;29.377;114.59419042;69.07223006;6.827693;
360;J0740+6620;149.730;29.599;115.19080319;66.34264435;0.002886;
361;J0741+17;202.768;18.438;115.25000000;17.05000000;1.730000;
362;B0740-28;243.773;-2.444;115.70440833;-28.37882222;0.166762;
363;J0742+4110;178.128;26.575;115.55091667;41.17083333;0.003139;
364;J0742+4334;175.536;27.214;115.67554167;43.56727778;0.606191;
365;J0744-2525;241.334;-0.743;116.00000000;-25.41666667;0.091996;
366;B0743-53;266.660;-14.283;116.26866667;-53.88598889;0.214839;
367;J0746-4529;259.203;-10.103;116.74799167;-45.49073611;2.791025;
368;J0747+6646;149.218;30.283;116.91536403;66.78243486;0.407701;
369;J0749-4247;257.066;-8.349;117.45697917;-42.79503889;1.095452;
370;J0750+57;160.557;30.327;117.50000000;57.00000000;1.174875;
371;J0750-6846;281.056;-20.048;117.64937500;-68.77605833;0.915216;
372;J0751+1807;202.730;21.086;117.78814721;18.12735733;0.003479;
373;J0753-0816;227.607;9.771;118.38750000;-8.32638889;2.093620;
374;B0751+32;188.187;26.721;118.66953333;32.53227778;1.442349;
375;B0756-15;234.464;7.224;119.62112833;-15.46909389;0.682265;
376;J0758-30;246.856;-0.417;119.50000000;-30.00000000;1.092000;
377;J0802-5613;269.950;-13.239;120.50000000;-56.21666667;0.273973;
378;J0803-0942;230.070;11.196;120.86186667;-9.71411389;0.571257;
379;J0803+34;186.778;28.890;120.77083333;34.31666667;*;
380;J0804-3647;253.331;-2.872;121.09250000;-36.79319444;2.191987;
381;J0806+08;213.920;20.334;121.52083333;8.28333333;2.063100;
382;J0806-4123;257.426;-4.983;121.59750000;-41.37525000;11.370386;
383;J0807-5421;268.727;-11.594;121.94660417;-54.35735000;0.526644;
384;J0808-3937;256.134;-3.759;122.04845833;-39.63136111;0.866349;
385;B0808-47;263.301;-7.957;122.43264583;-47.89852778;0.547202;
386;J0811+37;183.676;31.217;122.80000000;37.46666667;1.248300;
387;J0812-3905;256.111;-2.811;123.06167500;-39.09692222;0.482596;
388;J0813+22;200.909;27.480;123.47500000;22.01666667;0.531400;
389;B0809+74;139.998;31.618;123.74791667;74.48491667;1.292241;
390;J0815+0939;213.626;22.950;123.78656667;9.66408333;0.645161;
391;J0815+4611;173.626;33.453;123.99775958;46.19812222;0.434242;
392;J0818-3049;249.983;2.908;124.70541667;-30.82527778;0.763742;
393;J0818-3232;251.358;1.875;124.60806250;-32.54181389;2.161259;
394;B0818-13;235.890;12.595;125.10992375;-13.84884972;1.238130;
395;J0820-3826;256.523;-1.032;125.24970417;-38.44525000;0.124837;
396;J0820-3921;257.261;-1.583;125.20462500;-39.36547222;1.073567;
397;B0818-41;258.749;-2.734;125.06441667;-41.24311111;0.545446;
398;J0821-4221;259.825;-3.137;125.43598333;-42.35707222;0.396728;
399;J0821-4300;260.382;-3.473;125.48902208;-43.00474278;0.112799;
400;B0820+02;221.988;21.245;125.79068792;1.98679694;0.864873;
401;J0824+0028;223.577;20.789;126.10350092;0.46682417;0.009861;
402;B0823+26;196.964;31.743;126.71461167;26.62258250;0.530661;
403;J0827+53;165.470;35.647;126.95000000;53.00000000;0.013500;
404;B0826-34;253.965;2.561;127.06927293;-34.28529102;1.848919;
