NAME,RAJD,DECJD,P0,S1400,DIST,DIST_DM,
J0002+6216,0.74237500,62.26927778,0.115364,0.02,6.357,6.357,
J0006+1834,1.52000000,18.58305556,0.693748,*,0.860,0.860,
J0007+7303,1.75708333,73.05205556,0.315873,*,1.400,*,
J0011+08,2.89166667,8.16666667,2.552870,*,5.399,5.399,
J0012+5431,3.09708333,54.52972222,3.025301,*,5.425,5.425,
B0011+47,3.57395833,47.77594444,1.240699,3.00,1.776,1.776,
J0021-0909,5.46445833,-9.16630556,2.314131,0.13,25.000,25.000,
J0023+0923,5.82032291,9.38996121,0.003050,0.73,1.818,1.247,
J0024-7204aa,6.02362500,-72.08128333,0.001840,*,4.521,2.688,
J0024-7204ab,6.03400625,-72.07988944,0.003705,*,4.521,2.540,
J0024-7204ac,6.02362500,-72.06805556,0.002740,0.15,4.521,2.562,
J0024-7204ad,6.02362500,-72.06805556,0.003740,0.08,4.521,2.551,
B0021-72C,5.95981083,-72.07541800,0.005757,0.52,4.521,2.594,
B0021-72D,6.05783717,-72.07884789,0.005358,0.35,4.521,2.631,
B0021-72E,6.04627200,-72.08893033,0.003536,*,4.521,2.509,
B0021-72F,6.01606446,-72.07856064,0.002624,*,4.521,2.543,
B0021-72G,6.03316792,-72.07769528,0.004040,*,4.521,2.556,
B0021-72H,6.02793000,-72.06855742,0.003210,*,4.521,2.541,
B0021-72I,6.03306125,-72.07768931,0.003485,*,4.521,2.555,
B0021-72J,5.99753208,-72.06633078,0.002101,0.44,4.521,2.594,
B0021-72L,6.01571708,-72.08247861,0.004346,*,4.521,2.547,
B0021-72M,5.97704125,-72.09187667,0.003677,*,4.521,2.553,
B0021-72N,6.03828333,-72.07469186,0.003054,*,4.521,2.589,
J0024-7204O,6.01938558,-72.08160194,0.002643,*,4.521,2.537,
J0024-7204P,6.08333333,-72.06944444,0.003643,*,4.521,2.523,
J0024-7204Q,6.06871208,-72.07365678,0.004033,*,4.521,2.517,
J0024-7204R,6.03160458,-72.08066539,0.003480,*,4.521,2.538,
J0024-7204S,6.01658083,-72.07843139,0.002830,*,4.521,2.542,
J0024-7204T,6.03562125,-72.07748111,0.007588,*,4.521,2.550,
J0024-7204U,6.04098583,-72.06658006,0.004343,*,4.521,2.534,
J0024-7204V,6.02362500,-72.08128333,0.004810,*,4.521,2.480,
J0024-7204W,6.02524167,-72.08030222,0.002352,*,4.521,2.539,
J0024-7204X,6.09327354,-72.02151150,0.004772,*,4.521,2.587,
J0024-7204Y,6.00584417,-72.07828786,0.002197,*,4.521,2.563,
J0024-7204Z,6.02517083,-72.08374444,0.004554,*,4.521,2.559,
J0026-1955,6.65000000,-19.93305556,1.306150,*,25.000,25.000,
J0026+6320,6.71067083,63.33357500,0.318358,1.00,6.619,6.619,
J0030+0451,7.61428128,4.86103100,0.004865,1.09,0.324,0.345,
J0033+57,8.25000000,57.00000000,0.315000,*,2.251,2.251,
J0033+61,8.25000000,61.00000000,0.912000,*,1.654,1.654,
J0034-0534,8.59097592,-5.57686722,0.001877,0.21,1.348,1.348,
B0031-07,8.53695958,-7.36483583,0.942951,11.10,1.030,0.996,
J0034+69,8.50000000,69.71666667,0.036804,*,2.283,2.283,
J0036-1033,9.06254167,-10.55394444,0.900009,*,25.000,25.000,
J0038-2501,9.54276667,-25.02520278,0.256926,*,0.604,0.604,
J0039+35,9.77500000,35.75000000,0.536700,*,25.000,25.000,
B0037+56,10.13495792,57.27356472,1.118225,0.60,2.420,2.420,
J0043-73,10.85416667,-73.18333333,0.937429,0.05,58.938,58.938,
J0045-7042,11.35704167,-70.70197222,0.632336,0.06,59.700,58.577,
J0045-7319,11.39650000,-73.31750000,0.926276,0.25,59.700,58.705,
B0045+33,12.14160282,34.20223077,1.217094,*,4.500,4.500,
J0050+03,12.62916667,3.80000000,1.366560,*,25.000,25.000,
J0051+0423,12.87541667,4.38027778,0.354732,0.50,1.250,1.250,
J0052-72,13.11666667,-72.08333333,0.191444,0.04,60.261,60.261,
J0054+66,13.50000000,66.00000000,1.390000,*,0.901,0.901,
J0054+69,13.61666667,69.43333333,*,*,2.347,2.347,
J0054+6946,13.74631750,69.77134719,0.832911,*,2.758,2.758,
