NAME,RAJD,DECJD,P0,S1400,DIST,DIST_DM,
B0052+51,13.93915875,51.29016694,2.115171,1.50,2.857,1.935,
B0053+47,14.10630345,47.93626269,0.472037,*,1.123,1.123,
J0057-7201,14.43333333,-72.02194444,0.738062,*,3.476,3.476,
J0058+4950,14.54162336,49.84055678,0.996023,*,2.646,2.646,
J0058+6125,14.50000000,61.41666667,0.637000,*,2.597,2.597,
J0058-7218,14.56958333,-72.30166667,0.021766,*,59.700,*,
J0059+69,14.87500000,69.91666667,1.145900,*,2.048,2.048,
J0100-7211,15.17929167,-72.19266667,8.020392,*,59.700,*,
J0100+8023,15.06704167,80.39493056,1.493601,*,2.848,2.848,
J0101-6422,15.29631792,-64.37504750,0.002573,0.16,1.001,1.001,
J0102+4839,15.71111667,48.66187778,0.002960,*,2.310,2.310,
B0059+65,15.63746417,65.62039333,1.679164,1.20,2.500,1.978,
J0103+54,15.90416667,54.03333333,0.354304,*,2.010,2.010,
J0104+64,16.00000000,64.00000000,1.386000,*,1.711,1.711,
J0106+4855,16.60441667,48.93105556,0.083157,0.01,3.063,3.063,
J0107+1322,16.91645833,13.37547222,1.197383,*,2.349,2.349,
J0108-1431,17.03477923,-14.53060753,0.807565,1.40,0.210,0.232,
B0105+65,17.09377042,66.14291639,1.283660,0.90,2.128,1.461,
B0105+68,17.12293293,69.09795221,1.071118,0.40,1.981,1.981,
J0109+11,17.25000000,11.53333333,0.432700,*,1.566,1.566,
J0110-22,17.50000000,-22.00000000,1.262000,*,25.000,25.000,
J0111+6624,17.84115050,66.40299564,4.301872,*,2.412,2.412,
J0111-7131,17.86987500,-71.52966667,0.688542,0.04,59.700,59.325,
J0113-7220,18.29620833,-72.34227778,0.325883,0.19,59.700,60.999,
J0115+6325,18.94112500,63.43077778,0.521455,*,1.931,1.931,
B0114+58,19.41108846,59.24399732,0.101439,0.30,1.768,1.768,
J0121+53,20.25000000,53.48333333,2.724785,*,2.644,2.644,
J0122+1416,20.50545833,14.27138889,1.388994,*,1.584,1.584,
J0125-2327,21.29166667,-23.45722222,0.003676,2.49,0.873,0.873,
J0125+62,21.50000000,62.58333333,1.708233,*,2.403,2.403,
J0131-7310,22.86879167,-73.16926111,0.348124,0.06,59.700,100.000,
J0133-6957,23.38525000,-69.95824444,0.463474,0.18,2.441,2.441,
J0134-2937,23.57784333,-29.62140056,0.136962,3.90,25.000,25.000,
J0137+1654,24.34950000,16.91169444,0.414763,*,3.061,3.061,
J0137+6349,24.30569116,63.82620927,0.717963,*,9.097,9.097,
J0139+3336,24.98845833,33.61658333,1.247961,*,1.472,1.472,
J0139+5621,24.91066667,56.36022222,1.775344,0.02,2.410,2.410,
B0136+57,24.83225042,58.24217194,0.272451,4.60,2.600,2.006,
B0138+59,25.41640900,60.15897317,1.222949,4.50,2.300,1.498,
J0141+63,25.25000000,63.13333333,0.046686,*,8.774,8.774,
J0146+31,26.56250000,31.06666667,0.938100,*,1.826,1.826,
J0146+6145,26.59341667,61.75077778,8.688994,*,3.600,*,
B0144+59,26.93601417,59.36757889,0.196321,2.10,2.128,1.578,
B0148-06,27.84465792,-6.58416306,1.464665,1.60,25.000,25.000,
J0152+0948,28.09887500,9.80277778,2.746647,*,2.477,2.477,
B0149-16,28.04522458,-16.63156694,0.832742,2.10,0.920,0.920,
J0154+1833,28.65367804,18.56409944,0.002365,0.11,1.622,1.622,
J0156+04,29.00416667,4.03333333,*,*,25.000,25.000,
B0153+39,29.23019206,39.82459228,1.811561,*,4.916,4.916,
B0154+61,29.45809750,62.20740222,2.351745,1.90,1.786,1.385,
J0158+21,29.62083333,21.13333333,0.505300,*,1.569,1.569,
J0201+7005,30.42226667,70.08836389,1.349184,*,1.172,1.172,
J0203-0150,30.89130062,-1.83377428,0.005173,0.27,1.837,1.837,
J0205+6449,31.40801029,64.82814842,0.065716,0.04,3.200,2.784,
B0203-40,31.50538750,-40.46767222,0.630551,0.80,1.260,1.260,
J0209+5759,32.40543333,57.99591944,1.063906,*,1.743,1.743,
J0210+5845,32.73083333,58.75111111,1.766208,*,1.952,1.952,
J0211-8159,32.99583333,-81.99338889,1.077333,0.30,1.523,1.523,
J0212+5222,33.21724475,52.38041719,0.376386,0.90,1.558,1.558,
J0214+5222,33.73029708,52.37804167,0.024575,*,1.161,1.161,
J0215+6218,33.98594524,62.30927029,0.548880,3.70,2.004,2.004,
J0218+4232,34.52649404,42.53815976,0.002323,0.90,3.150,2.928,
J0220+3626,35.17550000,36.44880556,1.029700,*,2.240,2.240,
J0227+3356,36.73775000,33.94104444,1.240102,*,1.595,1.595,
J0229+20,37.26250000,20.96666667,0.806900,*,2.089,2.089,
B0226+70,37.80832172,70.44274548,1.466820,0.30,1.755,1.755,
J0241+16,40.44166667,16.06666667,1.545400,*,0.936,0.936,
J0242+62,40.64583333,62.94722222,0.592000,*,0.217,0.217,
J0243+6027,40.75000000,60.45000000,1.473000,*,2.717,2.717,
J0244+14,41.21250000,14.45000000,2.128100,*,2.796,2.796,
J0248+4230,42.12917917,42.50569167,0.002601,*,1.853,1.853,
J0248+6021,42.07757083,60.35964444,0.217094,13.70,2.000,25.000,
J0250+5854,42.57408333,58.90036111,23.535378,0.00,1.558,1.558,
J0251+2606,42.76064042,26.10276944,0.002542,*,1.170,1.170,
B0254-53,43.98455208,-53.07257639,0.447708,5.00,1.514,1.514,
J0301+35,45.25000000,35.00000000,0.146800,*,3.100,3.100,
J0302+2252,45.63329167,22.87002778,1.207165,*,1.014,1.014,
B0301+19,46.13797917,19.54761111,1.387584,15.10,0.739,0.739,
J0305+11,46.27500000,11.38333333,0.862100,*,1.838,1.838,
J0307+7443,46.97916667,74.72000000,0.003160,*,0.386,0.386,
J0312-0921,48.02583333,-9.36555556,0.003704,*,0.817,0.817,
J0317+13,49.47500000,13.48333333,1.974300,*,0.366,0.366,
J0318+0253,49.56475417,2.88374444,0.005190,0.01,1.328,1.328,
B0320+39,50.86109125,39.74788972,3.032072,0.90,0.952,1.197,
J0324+5239,51.23108333,52.65869444,0.336620,0.19,2.290,2.290,
J0325+6744,51.27133070,67.74982995,1.364679,*,1.929,1.929,
J0329+1654,52.28562500,16.90055556,0.893320,*,2.557,2.557,
B0329+54,53.24754000,54.57870250,0.714520,203.00,1.695,1.183,
B0331+45,53.81934000,45.93151444,0.269201,0.80,2.439,1.535,
J0335+6623,53.98776332,66.38989798,1.761934,*,1.907,1.907,
J0337+1715,54.43260787,17.25411889,0.002733,*,1.300,0.816,
J0337+79,54.34166667,79.02888889,2.056210,*,1.053,1.053,
J0340+4130,55.09703317,41.51258087,0.003299,0.31,1.603,1.603,
J0341+5711,55.25000000,57.18333333,1.888000,*,2.037,2.037,
J0343+06,55.75000000,6.00000000,1.007640,*,3.774,3.774,
J0343-3000,55.86641667,-30.00763889,2.597027,1.30,1.594,1.594,
B0339+53,55.80378531,53.21484111,1.934478,0.30,1.705,1.705,
J0344-0901,56.15612917,-9.01740556,1.226006,0.15,1.507,1.507,
J0348+0432,57.18182917,4.53651611,0.039123,0.67,2.100,2.256,
J0349+2340,57.48908333,23.68138889,2.420771,*,3.746,3.746,
J0355+28,58.75000000,28.00000000,0.094300,*,1.789,1.789,
J0357-05,59.48333333,-5.16222222,*,*,25.000,25.000,
J0357+3205,59.46875000,32.09027778,0.444104,*,0.835,*,
B0353+52,59.43683458,52.61597028,0.197030,1.90,3.571,2.025,
J0358+4155,59.51322767,41.92195353,0.226484,*,1.481,1.481,
B0355+54,59.72384917,54.22049556,0.156384,23.00,1.000,1.594,
J0358+6627,59.65803763,66.46293697,0.091506,*,1.884,1.884,
J0359+5414,59.85837500,54.24880556,0.079427,*,*,*,
B0403-76,60.46562500,-76.13693056,0.545254,3.80,1.014,1.014,
J0402+4825,60.66930417,48.43264167,0.512194,*,1.849,1.849,
J0405+3347,61.25000000,33.00000000,0.016500,*,1.668,1.668,
J0406+30,61.50000000,30.00000000,0.002600,*,1.641,1.641,
B0402+61,61.62533583,61.64483556,0.594576,2.80,4.545,1.785,
J0407+1607,61.97891250,16.12122222,0.025702,0.35,1.337,1.337,
J0408+551,62.00000000,55.00000000,1.837000,*,1.573,1.573,
J0408+552,62.00000000,55.00000000,0.754000,*,1.661,1.661,
J0410-31,62.66250000,-31.12472222,1.878500,*,0.415,0.415,
J0413+58,63.25000000,58.00000000,0.687000,*,1.630,1.630,
J0414+31,63.50000000,31.00000000,1.081000,*,1.842,1.842,
B0410+69,63.98188898,69.90274737,0.390715,0.50,1.368,1.368,
J0417+35,64.42916667,35.75000000,0.654400,*,1.480,1.480,
J0417+61,64.25000000,61.13333333,0.440283,*,1.837,1.837,
J0418-4154,64.51572833,-41.90400556,0.757119,*,2.519,2.519,
J0418+5732,64.64111250,57.53969722,9.078388,*,*,*,
J0418+6635,64.70000000,66.59027778,0.002910,*,2.206,2.206,
J0419+44,64.75000000,44.00000000,1.241000,*,1.687,1.687,
J0420-5022,65.00812500,-50.38002778,3.453004,*,*,*,
J0421-0345,65.38981694,-3.75183645,2.161308,0.50,2.196,2.196,
J0421+3255,65.38833333,32.93055556,0.900105,*,1.939,1.939,
J0426+4933,66.52838750,49.56068333,0.922475,0.19,1.795,1.795,
J0435+2749,68.96590833,27.81713889,0.326279,0.24,1.521,1.521,
J0437-4715,69.31623406,-47.25253075,0.005757,150.20,0.157,0.156,
J0447-04,71.75000000,-4.58333333,2.188190,*,0.675,0.675,
J0448-2749,72.17319758,-27.82964862,0.450448,2.00,1.809,1.809,
J0449-7031,72.27362500,-70.52547222,0.479164,0.06,49.700,50.463,
B0447-12,72.53658750,-12.80197222,0.438014,1.20,1.774,1.774,
J0451-67,72.95833333,-67.30000000,0.245454,0.05,49.700,4.184,
B0450-18,73.14210708,-17.98982528,0.548939,16.80,0.400,2.711,
J0453+1559,73.43922367,15.98925175,0.045782,0.33,0.522,0.522,
J0454+4529,73.74712500,45.49630556,1.389137,*,0.765,0.765,
B0450+55,73.53229417,55.72817694,0.340729,13.00,1.180,0.637,
B0456-69,73.94812500,-69.85952778,0.320423,0.08,49.700,50.586,
J0456-69,74.12500000,-69.16666667,0.117073,*,49.700,50.514,
J0456-7031,74.01041667,-70.51850000,0.800132,0.01,49.700,51.132,
J0457+23,74.27500000,23.56666667,0.504900,*,1.517,1.517,
J0457-6337,74.28245833,-63.62511111,2.497012,0.03,1.333,1.333,
J0457-69,74.25833333,-69.76666667,0.231390,*,49.700,50.356,
J0458-0505,74.65467083,-5.08475000,1.883480,*,1.938,1.938,
J0458-67,74.74583333,-67.71666667,1.133900,*,49.700,50.185,
J0459-0210,74.96642205,-2.16850891,1.133076,0.60,0.160,0.160,
J0501+4516,75.27816667,45.27608889,5.762097,*,2.000,*,
B0458+46,75.51900417,46.90169167,0.638565,2.50,1.319,1.319,
B0502-66,75.71054167,-66.29966667,0.691251,*,49.700,49.066,
J0506+50,76.55875000,50.50833333,0.003390,*,1.383,1.383,
J0509+0856,77.34264521,8.94028467,0.004056,1.47,0.817,0.817,
J0509+37,77.25000000,37.53333333,2.496100,*,0.930,0.930,
J0509+3801,77.38245035,38.02168971,0.076541,*,1.562,1.562,
J0511-6508,77.98541667,-65.14347222,0.322062,0.31,0.818,0.818,
J0514-4002A,78.52788629,-40.04691472,0.004991,*,11.950,25.000,
J0514-4002B,78.52804167,-40.04663889,0.002816,*,11.950,25.000,
J0514-4002C,78.52787500,-40.04705556,0.005565,*,11.950,25.000,
J0514-4002D,78.52804167,-40.04672222,0.004554,*,11.950,25.000,
J0514-4002E,78.52783333,-40.04658333,0.005596,*,11.950,25.000,
J0514-4002F,78.52791667,-40.04680556,0.004329,*,11.950,25.000,
J0514-4002G,78.52762500,-40.04669444,0.003803,*,11.950,25.000,
J0514-4002H,78.52750000,-40.04666667,0.005506,*,11.950,25.000,
J0514-4002I,78.52812500,-40.04672222,0.032654,*,11.950,25.000,
J0514-4002J,78.52791667,-40.04666667,0.006633,*,11.950,25.000,
J0514-4002K,78.52833333,-40.04666667,0.004692,*,11.950,25.000,
J0514-4002L,78.52833333,-40.04666667,0.002959,*,11.950,25.000,
J0514-4002M,78.52833333,-40.04666667,0.004798,*,11.950,25.000,
J0514-4002N,78.52791667,-40.04638889,0.005568,*,11.950,25.000,
J0514-4408,78.71745833,-44.14371667,0.320271,*,0.966,0.966,
J0517+2212,79.32144583,22.21441667,0.222367,0.46,0.159,0.159,
J0518+5125,79.60893750,51.43297222,0.912512,*,1.337,1.337,
J0518+5416,79.72166526,54.28055748,0.340203,*,1.434,1.434,
J0519+44,79.75000000,44.00000000,0.515000,*,1.421,1.421,
J0519-6932,79.94548750,-69.53985556,0.263212,0.13,49.700,49.732,
J0520-2553,80.15077229,-25.88674819,0.241642,0.80,2.379,2.379,
J0521-68,80.43333333,-68.58333333,0.433421,*,49.700,49.777,
J0522-6847,80.59608333,-68.78394444,0.674532,0.08,49.700,49.581,
J0523-7125,80.95275000,-71.43127222,0.322500,1.00,49.700,100.000,
B0523+11,81.48520125,11.25530000,0.354438,1.94,1.841,1.841,
J0525-6607,81.50375000,-66.07675000,8.047000,*,*,*,
B0525+21,82.21776667,22.00111111,3.745539,8.90,1.215,1.215,
J0529-0715,82.28738750,-7.25734167,0.689224,0.12,7.002,7.002,
B0529-66,82.46208333,-66.87775000,0.975737,0.21,49.700,49.592,
J0530-39,82.50000000,-39.00000000,0.907000,*,25.000,25.000,
J0532-6639,83.24795833,-66.66036111,0.642743,0.04,49.700,47.847,
J0532-69,83.01666667,-69.76666667,1.149196,*,49.700,49.602,
J0533+0402,83.35761667,4.03325000,0.963018,0.70,2.172,2.172,
J0533-4524,83.30787500,-45.41394444,0.157285,*,1.239,1.239,
J0533+6759,83.47975042,67.98819139,0.004388,*,2.392,2.392,
J0534-13,83.50000000,-13.00000000,0.979000,*,6.226,6.226,
B0531+21,83.63322083,22.01446111,0.033392,14.00,2.000,1.311,
J0534+34,83.62500000,34.11666667,*,*,0.403,0.403,
J0534-6703,83.65070833,-67.06355556,1.817565,0.12,49.700,48.846,
J0535-66,83.91666667,-66.86666667,0.210524,*,49.700,48.067,
J0535-6935,83.75000000,-69.58333333,0.200511,0.05,49.700,48.857,
B0538-75,84.12841667,-75.73188889,1.245856,8.70,0.143,0.143,
J0537-69,84.42916667,-69.35000000,0.112613,*,49.700,49.901,
J0537-6910,84.44756667,-69.17218889,0.016122,0.00,49.700,*,
J0538+2817,84.60440500,28.28587806,0.143158,1.90,1.300,0.946,
J0540+3207,85.15465000,32.12702778,0.524271,0.34,1.421,1.421,
B0540-69,85.04667500,-69.33171389,0.050570,0.10,49.700,48.910,
J0540-7125,85.12833333,-71.42538889,1.286015,0.30,0.547,0.547,
J0542-68,85.64583333,-68.26666667,0.425189,*,49.700,48.893,
B0540+23,85.79025000,23.48472222,0.245975,10.70,1.565,1.565,
J0543-6851,85.96962500,-68.85702778,0.708954,0.09,49.700,48.825,
J0544+20,86.05000000,20.83333333,*,*,1.283,1.283,
J0545-03,86.25000000,-3.16666667,1.073930,*,2.062,2.062,
J0546+2441,86.61983333,24.68916667,2.843850,*,1.517,1.517,
J0550+09,87.61666667,9.85000000,1.745000,*,1.804,1.804,
J0554+3107,88.52087500,31.12805556,0.464961,*,2.000,*,
J0555+3948,88.75000000,39.80000000,1.146906,*,1.065,1.065,
J0555-7056,88.75770833,-70.94600000,0.827838,0.06,49.700,48.741,
J0556-67,89.10416667,-67.48333333,0.790549,0.12,47.489,47.489,
J0557+1550,89.38103825,15.83501278,0.002556,0.07,1.834,1.834,
J0557-2948,89.38749792,-29.80466778,0.043643,0.05,4.269,4.269,
B0559-57,90.19375000,-57.94833333,2.261365,*,0.553,0.553,
B0559-05,90.49573000,-5.46413083,0.395969,2.60,2.083,2.328,
J0605+3757,91.27309958,37.95998889,0.002728,*,0.215,0.215,
J0608+00,92.20416667,0.65000000,1.076200,*,1.311,1.311,
J0608+1635,92.21525833,16.58594444,0.945845,0.14,1.651,1.651,
J0609+2130,92.49535875,21.50078889,0.055698,*,0.574,0.574,
J0610-2100,92.55665306,-21.00774976,0.003861,0.65,3.259,3.259,
J0611+04,92.82500000,4.10000000,1.674430,*,1.662,1.662,
J0611+1436,92.82770417,14.61444444,0.270329,1.10,0.807,0.807,
J0611+30,92.81666667,30.26666667,1.412090,*,1.080,1.080,
B0609+37,93.20286134,37.36037689,0.297982,4.00,0.535,0.535,
J0612+37216,93.18375562,37.36117381,0.443871,*,1.083,1.083,
J0613-0200,93.43323292,-2.01312150,0.003062,2.25,0.780,1.024,
J0613+3731,93.30062500,37.52730556,0.619198,0.13,0.186,0.186,
B0611+22,93.57085750,22.49912444,0.334960,3.30,3.571,1.744,
J0614-3329,93.54311583,-33.49836611,0.003149,0.68,0.630,2.691,
J0614+83,93.50000000,83.23333333,1.039203,*,3.699,3.699,
J0621+0336,95.29675417,3.61264444,0.269954,1.00,1.701,1.701,
J0621+1002,95.34214317,10.04409311,0.028854,1.72,0.425,0.425,
J0621+2514,95.29522583,25.23439722,0.002722,0.08,1.641,1.641,
J0621-55,95.17500000,-56.08333333,*,*,0.380,0.380,
J0622+3749,95.54379167,37.82044444,0.333208,*,*,*,
J0623+0340,95.94482917,3.66855556,0.613760,0.27,1.375,1.375,
B0621-04,96.08345088,-4.41401459,1.039076,1.40,1.938,1.938,
J0625+10,96.43750000,10.26666667,0.498397,0.09,1.637,1.637,
J0627+0649,96.97345250,6.83170278,0.346523,1.89,1.794,1.794,
J0627+0706,96.93405000,7.10916667,0.475885,1.39,2.289,2.289,
J0627+16,96.80416667,16.20000000,2.180000,*,1.932,1.932,
J0628+0909,97.15076250,9.15386111,1.241421,0.06,1.771,1.771,
B0626+24,97.27386375,24.26154056,0.476623,3.20,3.125,1.667,
J0630-0046,97.61231667,-0.76829167,0.680575,0.41,2.109,2.109,
J0630+19,97.51666667,19.61666667,1.248550,*,0.982,0.982,
B0628-28,97.70585164,-28.57854967,1.244419,31.90,0.320,2.069,
J0631+0646,97.96825000,6.77061111,0.110979,*,4.583,4.583,
J0631+1036,97.86468333,10.61736111,0.287800,1.11,2.105,2.105,
J0633+0632,98.43420833,6.54302778,0.297395,*,1.355,*,
J0633+1746,98.47563750,17.77025250,0.237099,*,0.190,0.138,
J0633-2015,98.28691667,-20.25197222,3.253211,0.20,3.676,3.676,
J0635+0533,98.82500000,5.55305556,0.033856,*,*,*,
J0636-23,99.00000000,-23.00000000,0.476000,*,2.815,2.815,
J0636-3044,99.28750000,-30.84500000,0.003946,1.51,0.679,0.679,
J0636-4549,99.14060000,-45.82572778,1.984597,0.10,0.383,0.383,
J0636+5128,99.02019777,51.48332374,0.002869,1.00,0.714,0.210,
J0641+07,100.29166667,7.73333333,*,*,1.257,1.257,
J0645+5158,101.49617629,51.97080920,0.008853,0.29,1.220,0.672,
J0645+80,101.50000000,80.15000000,0.657873,*,5.145,5.145,
J0646+0905,101.62927083,9.09711111,0.903913,3.60,2.504,2.504,
J0646-54,101.59333333,-54.88250000,0.002510,*,0.367,0.367,
J0647+0913,101.81533333,9.23319444,1.234854,0.18,2.666,2.666,
J0648-27,102.00000000,-27.00000000,4.169000,*,9.987,9.987,
J0652-0142,103.04627500,-1.70841667,0.924054,0.41,2.318,2.318,
J0653+06,103.25000000,-6.26666667,0.790000,*,2.140,2.140,
J0653+4706,103.27422083,47.10747778,0.004750,*,0.913,0.913,
B0643+80,103.31287500,80.86672778,1.214441,0.40,2.348,2.348,
J0656-2228,104.12586250,-22.47376389,1.224754,3.00,1.623,1.623,
J0656-5449,104.20412500,-54.82081111,0.183157,0.40,0.372,0.372,
J0658+0022,104.56337083,0.37647222,0.563295,0.13,2.301,2.301,
J0658+2936,104.43591667,29.60805556,0.823701,*,0.815,0.815,
B0656+14,104.95081667,14.23872222,0.384929,2.70,0.288,0.159,
J0659-36,104.75000000,-36.00000000,0.637000,*,3.916,3.916,
B0655+64,105.15750833,64.30311111,0.195671,0.30,0.413,0.413,
J0702-4956,105.66375000,-49.94283333,0.665994,*,0.538,0.538,
J0709+0458,107.28485579,4.98097058,0.034429,0.26,1.203,1.203,
J0709-5923,107.38555417,-59.39877778,0.485268,0.30,0.371,0.371,
J0711+0931,107.90075000,9.52361111,1.214090,0.04,1.168,1.168,
J0711-6830,107.97575018,-68.51315682,0.005491,2.60,0.106,0.106,
J0719-2545,109.78075000,-25.75006389,0.974725,0.80,9.810,9.810,
J0720-3125,110.10400833,-31.43057861,8.391116,*,0.400,*,
J0721-2038,110.42876958,-20.63529472,0.015542,0.27,2.680,2.680,
J0725-1635,111.25168397,-16.59605977,0.424311,0.33,2.778,2.778,
J0726-2612,111.53383333,-26.21058333,3.442308,0.20,2.900,2.900,
J0729-1448,112.31854167,-14.81022222,0.251659,0.83,2.681,2.681,
B0727-18,112.38473708,-18.61173444,0.510160,1.90,2.000,2.403,
J0732+2314,113.15631500,23.24839167,0.004090,0.73,1.151,1.151,
J0733-2345,113.35250000,-23.76561111,1.796250,0.07,4.122,4.122,
J0734-1559,113.69039583,-15.98840000,0.156250,*,*,*,
J0736-6304,114.08337500,-63.07111111,4.862874,*,0.104,0.104,
J0737-2202,114.43362917,-22.03481111,0.320366,0.47,3.059,3.059,
J0737-3039A,114.46353508,-30.66130953,0.022699,3.06,1.100,1.105,
J0737-3039B,114.46353508,-30.66130953,2.773461,1.30,1.100,1.105,
B0736-40,114.63442500,-40.71095000,0.374921,112.60,1.600,1.570,
J0738+6904,114.59419042,69.07223006,6.827693,*,1.124,1.124,
J0740+6620,115.19080319,66.34264435,0.002886,1.10,1.150,0.929,
J0741+17,115.25000000,17.05000000,1.730000,*,1.207,1.207,
B0740-28,115.70440833,-28.37882222,0.166762,26.00,2.000,3.114,
J0742+4110,115.55091667,41.17083333,0.003139,*,0.524,0.524,
J0742+4334,115.67554167,43.56727778,0.606191,*,1.610,1.610,
J0744-2525,101.59333333,-54.88250000,0.091996,*,*,*,
B0743-53,116.26866667,-53.88598889,0.214839,5.00,0.565,0.565,
J0746-4529,116.74799167,-45.49073611,2.791025,0.20,0.810,0.810,
J0747+6646,116.91536403,66.78243486,0.407701,*,1.865,1.865,
J0749-4247,117.45697917,-42.79503889,1.095452,0.50,0.560,0.560,
J0750+57,117.50000000,57.00000000,1.174875,*,1.604,1.604,
J0750-6846,117.64937500,-68.77605833,0.915216,1.70,0.338,0.338,
J0751+1807,117.78814721,18.12735733,0.003479,1.35,1.110,0.427,
J0753-0816,118.38750000,-8.32638889,2.093620,*,1.718,1.718,
B0751+32,118.66953333,32.53227778,1.442349,0.60,1.464,1.464,
B0756-15,119.62112833,-15.46909389,0.682265,2.60,2.710,2.710,
J0758-30,119.50000000,-30.00000000,1.092000,*,0.444,0.444,
J0802-5613,120.60000000,-56.21722222,0.273973,*,*,*,
J0803-0942,120.86186667,-9.71411389,0.571257,0.10,0.818,0.818,
J0803+34,120.77083333,34.31666667,*,*,1.305,1.305,
J0804-3647,121.09250000,-36.79319444,2.191987,0.29,2.916,2.916,
J0806+08,121.52083333,8.28333333,2.063100,*,1.848,1.848,
J0806-4123,121.59750000,-41.37525000,11.370386,*,*,*,
J0807-5421,121.94660417,-54.35735000,0.526644,0.40,0.887,0.887,
J0808-3937,122.04845833,-39.63136111,0.866349,0.21,2.884,2.884,
B0808-47,122.43264583,-47.89852778,0.547202,2.60,6.488,6.488,
J0811+37,122.80000000,37.46666667,1.248300,*,0.355,0.355,
J0812-3905,123.06167500,-39.09692222,0.482596,0.38,5.860,5.860,
J0813+22,123.47500000,22.01666667,0.531400,*,2.449,2.449,
B0809+74,123.74791667,74.48491667,1.292241,10.00,0.432,0.368,
