,NAME,RAJD,DECJD,P0,S1400,DIST,DIST_DM,sqrtts
0,J0002+6216,0.742375,62.26927778,0.115364,0.02,6.357,6.357,0.011376839382733825
5,B0011+47,3.57395833,47.77594444,1.240699,3.00,1.776,1.776,0.0
6,J0021-0909,5.46445833,-9.16630556,2.314131,0.13,25.000,25.000,3.863155592237189
7,J0023+0923,5.82032291,9.38996121,0.003050,0.73,1.818,1.247,0.0
10,J0024-7204ac,6.023625,-72.06805556,0.002740,0.15,4.521,2.562,0.0
11,J0024-7204ad,6.023625,-72.06805556,0.003740,0.08,4.521,2.551,0.0
12,B0021-72C,5.95981083,-72.075418,0.005757,0.52,4.521,2.594,0.0
13,B0021-72D,6.05783717,-72.07884789,0.005358,0.35,4.521,2.631,0.0
19,B0021-72J,5.99753208,-72.06633078,0.002101,0.44,4.521,2.594,0.0
36,J0026+6320,6.71067083,63.333575,0.318358,1.00,6.619,6.619,0.6047696161779563
37,J0030+0451,7.61428128,4.861031,0.004865,1.09,0.324,0.345,2.7553330517779187
40,J0034-0534,8.59097592,-5.57686722,0.001877,0.21,1.348,1.348,0.0
41,B0031-07,8.53695958,-7.36483583,0.942951,11.10,1.030,0.996,0.0
46,B0037+56,10.13495792,57.27356472,1.118225,0.60,2.420,2.420,0.0
47,J0043-73,10.85416667,-73.18333333,0.937429,0.05,58.938,58.938,0.024248996007030153
48,J0045-7042,11.35704167,-70.70197222,0.632336,0.06,59.700,58.577,0.11196843929860012
49,J0045-7319,11.3965,-73.3175,0.926276,0.25,59.700,58.705,0.0
52,J0051+0423,12.87541667,4.38027778,0.354732,0.50,1.250,1.250,0.0
53,J0052-72,13.11666667,-72.08333333,0.191444,0.04,60.261,60.261,0.0
57,B0052+51,13.93915875,51.29016694,2.115171,1.50,2.857,1.935,2.981804877795698
66,J0101-6422,15.29631792,-64.3750475,0.002573,0.16,1.001,1.001,0.9170386081925481
68,B0059+65,15.63746417,65.62039333,1.679164,1.20,2.500,1.978,0.0
71,J0106+4855,16.60441667,48.93105556,0.083157,0.01,3.063,3.063,0.013827129278613296
73,J0108-1431,17.03477923,-14.53060753,0.807565,1.40,0.210,0.232,0.0
74,B0105+65,17.09377042,66.14291639,1.283660,0.90,2.128,1.461,0.0
75,B0105+68,17.12293293,69.09795221,1.071118,0.40,1.981,1.981,0.0
79,J0111-7131,17.869875,-71.52966667,0.688542,0.04,59.700,59.325,0.0
80,J0113-7220,18.29620833,-72.34227778,0.325883,0.19,59.700,60.999,0.0
82,B0114+58,19.41108846,59.24399732,0.101439,0.30,1.768,1.768,0.0
