,NAME,RAJD,DECJD,P0,S1400,DIST,DIST_DM,sqrtts
85,J0125-2327,21.29166667,-23.45722222,0.003676,2.49,0.873,0.873,0.06461685829779866
87,J0131-7310,22.86879167,-73.16926111,0.348124,0.06,59.700,100.000,0.0
88,J0133-6957,23.38525,-69.95824444,0.463474,0.18,2.441,2.441,0.0
89,J0134-2937,23.57784333,-29.62140056,0.136962,3.90,25.000,25.000,0.0
93,J0139+5621,24.91066667,56.36022222,1.775344,0.02,2.410,2.410,1.4308174061055385
94,B0136+57,24.83225042,58.24217194,0.272451,4.60,2.600,2.006,0.0
95,B0138+59,25.416409,60.15897317,1.222949,4.50,2.300,1.498,0.0
99,B0144+59,26.93601417,59.36757889,0.196321,2.10,2.128,1.578,0.3981163341473747
100,B0148-06,27.84465792,-6.58416306,1.464665,1.60,25.000,25.000,0.0
102,B0149-16,28.04522458,-16.63156694,0.832742,2.10,0.920,0.920,4.5122934195419075
103,J0154+1833,28.65367804,18.56409944,0.002365,0.11,1.622,1.622,0.34179679169634475
106,B0154+61,29.4580975,62.20740222,2.351745,1.90,1.786,1.385,0.2066599715385536
109,J0203-0150,30.89130062,-1.83377428,0.005173,0.27,1.837,1.837,0.0
110,J0205+6449,31.40801029,64.82814842,0.065716,0.04,3.200,2.784,3.5641666267583725
111,B0203-40,31.5053875,-40.46767222,0.630551,0.80,1.260,1.260,2.822238542560677
114,J0211-8159,32.99583333,-81.99338889,1.077333,0.30,1.523,1.523,0.0
115,J0212+5222,33.21724475,52.38041719,0.376386,0.90,1.558,1.558,0.1694289152098148
117,J0215+6218,33.98594524,62.30927029,0.548880,3.70,2.004,2.004,0.0
118,J0218+4232,34.52649404,42.53815976,0.002323,0.90,3.150,2.928,0.0
122,B0226+70,37.80832172,70.44274548,1.466820,0.30,1.755,1.755,0.0
128,J0248+6021,42.07757083,60.35964444,0.217094,13.70,2.000,25.000,0.0
129,J0250+5854,42.57408333,58.90036111,23.535378,0.00,1.558,1.558,0.0
131,B0254-53,43.98455208,-53.07257639,0.447708,5.00,1.514,1.514,0.0
134,B0301+19,46.13797917,19.54761111,1.387584,15.10,0.739,0.739,0.0
139,J0318+0253,49.56475417,2.88374444,0.005190,0.01,1.328,1.328,0.17366693846920603
140,B0320+39,50.86109125,39.74788972,3.032072,0.90,0.952,1.197,3.7388445459048154
141,J0324+5239,51.23108333,52.65869444,0.336620,0.19,2.290,2.290,0.0
144,B0329+54,53.24754,54.5787025,0.714520,203.00,1.695,1.183,2.3270845289213504
145,B0331+45,53.81934,45.93151444,0.269201,0.80,2.439,1.535,0.25452302658120285
149,J0340+4130,55.09703317,41.51258087,0.003299,0.31,1.603,1.603,0.0236816479003629
152,J0343-3000,55.86641667,-30.00763889,2.597027,1.30,1.594,1.594,0.19888288756311015
153,B0339+53,55.80378531,53.21484111,1.934478,0.30,1.705,1.705,0.09408818339536204
154,J0344-0901,56.15612917,-9.01740556,1.226006,0.15,1.507,1.507,0.0
155,J0348+0432,57.18182917,4.53651611,0.039123,0.67,2.100,2.256,0.0
160,B0353+52,59.43683458,52.61597028,0.197030,1.90,3.571,2.025,0.0
162,B0355+54,59.72384917,54.22049556,0.156384,23.00,1.000,1.594,0.006949406347847724
165,B0403-76,60.465625,-76.13693056,0.545254,3.80,1.014,1.014,0.0
169,B0402+61,61.62533583,61.64483556,0.594576,2.80,4.545,1.785,0.0
170,J0407+1607,61.9789125,16.12122222,0.025702,0.35,1.337,1.337,0.0
176,B0410+69,63.98188898,69.90274737,0.390715,0.50,1.368,1.368,0.0
184,J0421-0345,65.38981694,-3.75183645,2.161308,0.50,2.196,2.196,0.0
186,J0426+4933,66.5283875,49.56068333,0.922475,0.19,1.795,1.795,0.0
187,J0435+2749,68.96590833,27.81713889,0.326279,0.24,1.521,1.521,0.05924360910316128
188,J0437-4715,69.31623406,-47.25253075,0.005757,150.20,0.157,0.156,0.07401025797924596
190,J0448-2749,72.17319758,-27.82964862,0.450448,2.00,1.809,1.809,0.09886894396695907
191,J0449-7031,72.273625,-70.52547222,0.479164,0.06,49.700,50.463,0.0
192,B0447-12,72.5365875,-12.80197222,0.438014,1.20,1.774,1.774,0.0
193,J0451-67,72.95833333,-67.3,0.245454,0.05,49.700,4.184,0.015553581232432601
194,B0450-18,73.14210708,-17.98982528,0.548939,16.80,0.400,2.711,0.22427744838759175
195,J0453+1559,73.43922367,15.98925175,0.045782,0.33,0.522,0.522,0.0
197,B0450+55,73.53229417,55.72817694,0.340729,13.00,1.180,0.637,1.0461728871680356
198,B0456-69,73.948125,-69.85952778,0.320423,0.08,49.700,50.586,0.45860280697241196
200,J0456-7031,74.01041667,-70.5185,0.800132,0.01,49.700,51.132,1.4290562839780026
202,J0457-6337,74.28245833,-63.62511111,2.497012,0.03,1.333,1.333,0.0
206,J0459-0210,74.96642205,-2.16850891,1.133076,0.60,0.160,0.160,0.07849396554072671
208,B0458+46,75.51900417,46.90169167,0.638565,2.50,1.319,1.319,0.0
211,J0509+0856,77.34264521,8.94028467,0.004056,1.47,0.817,0.817,0.0
214,J0511-6508,77.98541667,-65.14347222,0.322062,0.31,0.818,0.818,0.0
230,J0517+2212,79.32144583,22.21441667,0.222367,0.46,0.159,0.159,0.7830317682417529
234,J0519-6932,79.9454875,-69.53985556,0.263212,0.13,49.700,49.732,1.2227941522641204
235,J0520-2553,80.15077229,-25.88674819,0.241642,0.80,2.379,2.379,0.0
237,J0522-6847,80.59608333,-68.78394444,0.674532,0.08,49.700,49.581,0.0
238,J0523-7125,80.95275,-71.43127222,0.322500,1.00,49.700,100.000,0.0
239,B0523+11,81.48520125,11.2553,0.354438,1.94,1.841,1.841,0.00031608883115656226
241,B0525+21,82.21776667,22.00111111,3.745539,8.90,1.215,1.215,0.0
242,J0529-0715,82.2873875,-7.25734167,0.689224,0.12,7.002,7.002,0.0
243,B0529-66,82.46208333,-66.87775,0.975737,0.21,49.700,49.592,0.0
245,J0532-6639,83.24795833,-66.66036111,0.642743,0.04,49.700,47.847,0.0
247,J0533+0402,83.35761667,4.03325,0.963018,0.70,2.172,2.172,0.5779176553475771
251,B0531+21,83.63322083,22.01446111,0.033392,14.00,2.000,1.311,0.0
253,J0534-6703,83.65070833,-67.06355556,1.817565,0.12,49.700,48.846,0.005077659024069864
255,J0535-6935,83.75,-69.58333333,0.200511,0.05,49.700,48.857,1.886577114002811
256,B0538-75,84.12841667,-75.73188889,1.245856,8.70,0.143,0.143,0.055659627094884354
259,J0538+2817,84.604405,28.28587806,0.143158,1.90,1.300,0.946,0.0
260,J0540+3207,85.15465,32.12702778,0.524271,0.34,1.421,1.421,0.4370830692580044
261,B0540-69,85.046675,-69.33171389,0.050570,0.10,49.700,48.910,0.10484960012251911
262,J0540-7125,85.12833333,-71.42538889,1.286015,0.30,0.547,0.547,0.07116264818316831
264,B0540+23,85.79025,23.48472222,0.245975,10.70,1.565,1.565,0.0
265,J0543-6851,85.969625,-68.85702778,0.708954,0.09,49.700,48.825,0.0
272,J0555-7056,88.75770833,-70.946,0.827838,0.06,49.700,48.741,0.013455111618483728
273,J0556-67,89.10416667,-67.48333333,0.790549,0.12,47.489,47.489,0.0
274,J0557+1550,89.38103825,15.83501278,0.002556,0.07,1.834,1.834,0.4444133240621059
275,J0557-2948,89.38749792,-29.80466778,0.043643,0.05,4.269,4.269,3.913826239650606
277,B0559-05,90.49573,-5.46413083,0.395969,2.60,2.083,2.328,0.0
280,J0608+1635,92.21525833,16.58594444,0.945845,0.14,1.651,1.651,0.0
282,J0610-2100,92.55665306,-21.00774976,0.003861,0.65,3.259,3.259,0.4132385327177184
284,J0611+1436,92.82770417,14.61444444,0.270329,1.10,0.807,0.807,0.0
286,B0609+37,93.20286134,37.36037689,0.297982,4.00,0.535,0.535,1.662775222303758
288,J0613-0200,93.43323292,-2.0131215,0.003062,2.25,0.780,1.024,0.3608947767220422
289,J0613+3731,93.300625,37.52730556,0.619198,0.13,0.186,0.186,0.06992315744060151
290,B0611+22,93.5708575,22.49912444,0.334960,3.30,3.571,1.744,0.0
291,J0614-3329,93.54311583,-33.49836611,0.003149,0.68,0.630,2.691,0.0
293,J0621+0336,95.29675417,3.61264444,0.269954,1.00,1.701,1.701,1.2102003484758515
294,J0621+1002,95.34214317,10.04409311,0.028854,1.72,0.425,0.425,0.0
295,J0621+2514,95.29522583,25.23439722,0.002722,0.08,1.641,1.641,0.0
298,J0623+0340,95.94482917,3.66855556,0.613760,0.27,1.375,1.375,0.18466296210208136
299,B0621-04,96.08345088,-4.41401459,1.039076,1.40,1.938,1.938,0.0
301,J0627+0649,96.9734525,6.83170278,0.346523,1.89,1.794,1.794,0.0
302,J0627+0706,96.93405,7.10916667,0.475885,1.39,2.289,2.289,0.0
304,J0628+0909,97.1507625,9.15386111,1.241421,0.06,1.771,1.771,0.0
305,B0626+24,97.27386375,24.26154056,0.476623,3.20,3.125,1.667,0.0
306,J0630-0046,97.61231667,-0.76829167,0.680575,0.41,2.109,2.109,4.455658216705407
308,B0628-28,97.70585164,-28.57854967,1.244419,31.90,0.320,2.069,0.022514071351098935
310,J0631+1036,97.86468333,10.61736111,0.287800,1.11,2.105,2.105,0.0
313,J0633-2015,98.28691667,-20.25197222,3.253211,0.20,3.676,3.676,0.0
316,J0636-3044,99.2875,-30.845,0.003946,1.51,0.679,0.679,0.0
317,J0636-4549,99.1406,-45.82572778,1.984597,0.10,0.383,0.383,0.0
318,J0636+5128,99.02019777,51.48332374,0.002869,1.00,0.714,0.210,0.0
320,J0645+5158,101.49617629,51.9708092,0.008853,0.29,1.220,0.672,0.5383556111445802
322,J0646+0905,101.62927083,9.09711111,0.903913,3.60,2.504,2.504,0.0
324,J0647+0913,101.81533333,9.23319444,1.234854,0.18,2.666,2.666,0.0
326,J0652-0142,103.046275,-1.70841667,0.924054,0.41,2.318,2.318,0.31305994687024075
329,B0643+80,103.312875,80.86672778,1.214441,0.40,2.348,2.348,0.0
330,J0656-2228,104.1258625,-22.47376389,1.224754,3.00,1.623,1.623,0.0
331,J0656-5449,104.204125,-54.82081111,0.183157,0.40,0.372,0.372,0.0
332,J0658+0022,104.56337083,0.37647222,0.563295,0.13,2.301,2.301,1.2878411438352728
334,B0656+14,104.95081667,14.23872222,0.384929,2.70,0.288,0.159,0.015003761112118402
336,B0655+64,105.15750833,64.30311111,0.195671,0.30,0.413,0.413,0.0
338,J0709+0458,107.28485579,4.98097058,0.034429,0.26,1.203,1.203,0.7443810008324089
339,J0709-5923,107.38555417,-59.39877778,0.485268,0.30,0.371,0.371,0.014400176784873995
340,J0711+0931,107.90075,9.52361111,1.214090,0.04,1.168,1.168,0.6952220857923826
341,J0711-6830,107.97575018,-68.51315682,0.005491,2.60,0.106,0.106,0.22666024336637025
342,J0719-2545,109.78075,-25.75006389,0.974725,0.80,9.810,9.810,0.0
344,J0721-2038,110.42876958,-20.63529472,0.015542,0.27,2.680,2.680,0.0
345,J0725-1635,111.25168397,-16.59605977,0.424311,0.33,2.778,2.778,0.0
346,J0726-2612,111.53383333,-26.21058333,3.442308,0.20,2.900,2.900,0.0
347,J0729-1448,112.31854167,-14.81022222,0.251659,0.83,2.681,2.681,0.0
348,B0727-18,112.38473708,-18.61173444,0.510160,1.90,2.000,2.403,0.0
349,J0732+2314,113.156315,23.24839167,0.004090,0.73,1.151,1.151,0.0
350,J0733-2345,113.3525,-23.76561111,1.796250,0.07,4.122,4.122,0.0
353,J0737-2202,114.43362917,-22.03481111,0.320366,0.47,3.059,3.059,0.06920756584661379
354,J0737-3039A,114.46353508,-30.66130953,0.022699,3.06,1.100,1.105,2.6797320829059603
355,J0737-3039B,114.46353508,-30.66130953,2.773461,1.30,1.100,1.105,2.6797320829059603
356,B0736-40,114.634425,-40.71095,0.374921,112.60,1.600,1.570,0.0
358,J0740+6620,115.19080319,66.34264435,0.002886,1.10,1.150,0.929,0.004540381471771885
360,B0740-28,115.70440833,-28.37882222,0.166762,26.00,2.000,3.114,0.0
364,B0743-53,116.26866667,-53.88598889,0.214839,5.00,0.565,0.565,0.0
365,J0746-4529,116.74799167,-45.49073611,2.791025,0.20,0.810,0.810,0.0
367,J0749-4247,117.45697917,-42.79503889,1.095452,0.50,0.560,0.560,0.0
369,J0750-6846,117.649375,-68.77605833,0.915216,1.70,0.338,0.338,0.0
370,J0751+1807,117.78814721,18.12735733,0.003479,1.35,1.110,0.427,0.0
372,B0751+32,118.66953333,32.53227778,1.442349,0.60,1.464,1.464,0.02640919711607932
373,B0756-15,119.62112833,-15.46909389,0.682265,2.60,2.710,2.710,0.0
376,J0803-0942,120.86186667,-9.71411389,0.571257,0.10,0.818,0.818,0.0
378,J0804-3647,121.0925,-36.79319444,2.191987,0.29,2.916,2.916,0.8007346415273863
381,J0807-5421,121.94660417,-54.35735,0.526644,0.40,0.887,0.887,2.157397682559249
382,J0808-3937,122.04845833,-39.63136111,0.866349,0.21,2.884,2.884,0.0
383,B0808-47,122.43264583,-47.89852778,0.547202,2.60,6.488,6.488,0.0
385,J0812-3905,123.061675,-39.09692222,0.482596,0.38,5.860,5.860,0.0
387,B0809+74,123.74791667,74.48491667,1.292241,10.00,0.432,0.368,0.5566722755370689
390,J0818-3049,124.70541667,-30.82527778,0.763742,0.33,0.422,0.422,0.4715910774561358
391,J0818-3232,124.6080625,-32.54181389,2.161259,1.40,0.484,0.484,0.3715411647123604
392,B0818-13,125.10992375,-13.84884972,1.238130,6.00,1.900,2.321,0.03451999700604099
393,J0820-3826,125.24970417,-38.44525,0.124837,0.49,4.084,4.084,2.992867598398563
394,J0820-3921,125.204625,-39.36547222,1.073567,0.40,3.576,3.576,0.0
395,B0818-41,125.06441667,-41.24311111,0.545446,5.00,0.571,0.571,0.0
396,J0821-4221,125.43598333,-42.35707222,0.396728,0.80,5.802,5.802,0.46162153989660876
399,J0824+0028,126.10350092,0.46682417,0.009861,0.51,1.689,1.689,2.766693585172506
400,B0823+26,126.71461167,26.6225825,0.530661,10.00,0.498,0.314,0.0
402,B0826-34,127.06927293,-34.28529102,1.848919,0.25,0.354,0.354,0.7263934482648983
403,J0831-4406,127.885125,-44.10330556,0.311674,0.43,5.883,5.883,0.0
404,J0834-4159,128.57419583,-41.99333056,0.121118,0.28,5.508,5.508,0.0
406,J0835-3707,128.76283333,-37.13097222,0.541404,0.28,0.555,0.555,0.003556813342291291
407,B0833-45,128.83588121,-45.17635419,0.089328,1050.00,0.280,0.328,0.2570342917603778
408,J0836-4233,129.024375,-42.55691667,0.738436,0.13,3.609,3.609,0.0
409,B0834+06,129.27350833,6.17071111,1.273768,5.00,0.190,0.190,0.0
411,B0835-41,129.33830958,-41.58737861,0.751625,35.00,1.500,1.421,2.2133081512106676
412,J0838-2621,129.5783375,-26.35820833,0.308581,0.50,4.102,4.102,0.7349466598234287
413,J0838-3947,129.62833333,-39.78944444,1.703946,0.11,5.095,5.095,0.25728401437616655
415,B0839-53,130.140525,-53.54331944,0.720614,1.70,0.566,0.566,0.0
416,B0840-48,130.52268458,-48.85572222,0.644354,1.07,3.103,3.103,0.0
418,J0843-5022,130.79118333,-50.37863889,0.208956,0.70,1.573,1.573,0.0
420,B0844-35,131.52516667,-35.56144444,1.116098,5.00,0.535,0.535,0.0
423,J0849-6322,132.42745833,-63.37638889,0.367953,1.00,0.383,0.383,1.3503371615841293
426,B0853-33,133.91005628,-33.52758448,1.267536,0.60,0.503,0.503,0.0
427,J0855-4644,133.90075,-46.73705556,0.064686,0.28,5.638,5.638,0.0
428,J0855-4658,133.83154167,-46.97294444,0.575072,0.23,13.740,13.740,0.0
429,B0855-61,134.24695833,-61.63130833,0.962511,3.30,0.370,0.370,0.07020839190872882
431,J0857-4424,134.48263333,-44.40295833,0.326786,0.98,2.833,2.833,0.0
432,J0900-3144,135.18313787,-31.74191533,0.011110,3.84,0.890,0.380,0.0
433,J0901-4624,135.41716667,-46.41347222,0.441995,0.51,3.032,3.032,0.0
434,B0901-63,135.635,-63.42,0.660313,1.70,0.192,0.192,0.2141068775913886
435,B0903-42,136.24617917,-42.77038889,0.965173,0.60,0.675,0.675,0.2257970099250101
436,B0904-74,136.043625,-74.99491667,0.549554,2.00,1.048,1.048,0.022065010552653683
437,J0905-4536,136.34958333,-45.61472222,0.988281,1.10,2.912,2.912,0.0
438,J0905-5127,136.4665,-51.46501389,0.346301,1.05,1.330,1.330,0.5283426823401427
439,J0905-6019,136.31352083,-60.32279444,0.340854,0.30,0.359,0.359,1.6025102246820078
440,B0905-51,136.81625417,-51.96648889,0.253558,17.00,0.341,0.341,0.0
441,B0906-17,137.1590925,-17.66046389,0.401626,4.00,0.805,0.805,0.0
442,B0906-49,137.14775,-49.21805556,0.106769,20.00,1.000,1.027,0.06108697555491328
443,B0909-71,137.39920833,-72.20248333,1.362890,1.90,0.752,0.752,0.08339979507673718
445,J0912-3851,138.17791667,-38.85083333,1.526085,0.10,0.346,0.346,0.028493243134508767
447,J0919-6040,139.866125,-60.68066667,1.216976,0.20,0.355,0.355,0.0
448,J0921-5202,140.49949375,-52.04401944,0.009680,0.19,0.355,0.355,0.0
449,B0917+63,140.30889747,62.90386409,1.567994,0.50,1.003,1.003,0.0
450,B0919+06,140.558425,6.63980556,0.430627,10.00,1.100,1.912,0.0
451,J0922-4949,140.5623375,-49.82002222,0.950289,0.52,2.698,2.698,0.09370624151397125
453,B0922-52,141.03634167,-53.04516667,0.746338,1.10,0.513,0.513,0.821487046219527
454,B0923-58,141.12841667,-58.23475,0.739505,6.00,0.107,0.107,0.05529347127434944
455,J0925+6103,141.32310458,61.05114,0.005983,0.20,1.976,1.976,0.0
456,J0927+2345,141.93858333,23.75297222,0.761889,0.06,1.091,1.091,0.0
460,J0931-1902,142.82965478,-19.04861884,0.004638,0.52,3.722,3.722,0.0
461,J0932-3217,143.163125,-32.28727778,1.931627,0.30,0.414,0.414,0.5465675451164402
462,J0932-5327,143.09525,-53.45305556,4.392159,0.15,0.359,0.359,0.00934737733294951
463,J0934-4154,143.7425,-41.90541667,0.570409,0.30,0.530,0.530,0.0
464,B0932-52,143.61765417,-52.82425,1.444777,3.20,0.349,0.349,0.6572728257503981
466,J0940-5428,145.24258333,-54.47794444,0.087545,0.66,0.377,0.377,0.0
468,J0941-5244,145.42144583,-52.73457778,0.658558,0.50,0.398,0.398,0.0
469,B0940-55,145.562,-55.88197222,0.664389,11.00,0.300,0.415,2.6220559801170498
470,B0941-56,145.72676667,-56.96200278,0.808164,1.00,0.406,0.406,0.22670361889484886
471,B0940+16,145.87541667,16.52694444,1.087418,1.30,1.487,1.487,0.5165658689675848
472,J0943+2253,145.88498958,22.88490556,0.532975,0.39,3.555,3.555,0.0
473,B0942-13,146.12064958,-13.91156389,0.570264,0.60,0.686,0.686,0.0
475,J0945-4833,146.40939167,-48.55402778,0.331586,0.39,0.352,0.352,2.201700590830922
477,J0947+2740,146.83869583,27.67875,0.851014,0.13,25.000,25.000,0.0
478,J0949-6902,147.33569583,-69.04488889,0.640016,0.30,1.677,1.677,0.08503639415421252
481,B0950-38,148.07166667,-38.65283333,1.373815,4.00,0.523,0.523,0.0
482,B0950+08,148.28879042,7.92659722,0.253065,100.00,0.261,0.187,4.717723987413892
483,J0954-5430,148.52519167,-54.51467222,0.472851,0.51,0.433,0.433,0.045207736210535164
484,B0953-52,148.87275417,-53.07128889,0.862122,0.94,0.401,0.401,0.0075041220999146835
485,J0955-6150,148.8,-61.83333333,0.001999,0.64,2.172,2.172,0.1841369297031818
487,J0957-5432,149.483375,-54.53441667,0.203557,0.18,0.449,0.449,0.0
488,B0957-47,149.85921667,-48.16318611,0.670086,4.00,0.361,0.361,0.0
490,J1000-5149,150.11725417,-51.83281111,0.255677,0.26,0.127,0.127,0.0
491,B0959-54,150.40770833,-55.11883333,1.436631,10.00,0.300,0.408,0.0
492,J1001-5559,150.28583333,-55.98338889,1.661177,1.40,0.432,0.432,0.12816300321904187
493,J1001-5939,150.38429167,-59.65494444,7.733640,0.15,1.240,1.240,0.0395070224434684
494,J1002-5559,150.74125,-55.99361111,0.777501,0.12,3.270,3.270,0.09075355065949306
495,J1002-5919,150.58541667,-59.327,0.713489,0.17,3.171,3.171,0.0
496,B1001-47,150.83970417,-47.78366389,0.307074,1.43,0.369,0.369,2.632525612968044
498,J1006-6311,151.6525,-63.19477778,0.835797,0.12,2.381,2.381,0.0
500,B1010-23,153.14052652,-23.63956138,2.517945,0.14,0.983,0.983,2.422408962452003
501,J1012-4235,153.05392083,-42.59817778,0.003101,0.26,0.372,0.372,0.0
502,J1012+5307,153.13932687,53.11729541,0.005256,3.80,0.700,0.805,0.0
503,J1012-5830,153.22875,-58.50711111,2.133591,0.08,2.799,2.799,0.0
504,B1011-58,153.20195833,-58.96347222,0.819926,1.91,3.185,3.185,0.0
505,J1013-5934,153.3827,-59.57406389,0.442901,2.60,3.144,3.144,0.14752432744406666
507,J1015-5719,153.90816667,-57.32022222,0.139882,3.00,2.732,2.732,0.0
508,B1014-53,154.12972917,-53.75396111,0.769586,1.10,0.117,0.117,0.3785409034992656
509,J1016-5819,154.05029583,-58.31696389,0.087834,0.36,2.587,2.587,0.0
510,J1016-5857,154.08816667,-58.95336111,0.107386,0.90,3.163,3.163,2.9528781299511757
512,B1015-56,154.3034625,-56.35847778,0.503463,2.20,3.513,3.513,0.0
513,J1017-7156,154.46383654,-71.94489308,0.002339,1.09,1.807,1.807,0.0
515,B1016-16,154.66818997,-16.7028163,1.804695,0.70,25.000,25.000,3.302718403129206
516,J1019-5749,154.96725,-57.81830556,0.162499,3.80,10.913,10.913,0.0
517,J1020-5921,155.05845833,-59.35944444,1.238305,0.20,0.938,0.938,1.0933912593941906
518,J1020-6026,155.04754167,-60.43508333,0.140481,0.25,3.277,3.277,0.0
519,J1021-5601,155.35341667,-56.03080556,0.670026,0.37,2.429,2.429,1.97373489676445
520,J1022+1001,155.74164348,10.03129866,0.016453,3.90,0.645,0.834,0.0
521,J1022-5813,155.61708333,-58.225,1.643726,0.20,4.245,4.245,0.016765526183852845
524,J1024-0719,156.16113071,-7.32208671,0.005162,1.50,1.220,0.382,0.02700272200985698
525,J1028-5819,157.11666667,-58.31811111,0.091403,0.24,1.423,1.423,0.0
526,J1031-6117,157.75933333,-61.29738889,0.306411,0.12,3.383,3.383,2.75330596825571
527,J1032-5206,158.115375,-52.10236111,2.407622,0.19,2.096,2.096,0.0
528,B1030-58,158.02031667,-59.19855556,0.464213,1.10,3.005,3.005,0.0
529,J1034-3224,158.58129582,-32.4072169,1.150590,8.00,1.636,1.636,0.0
530,J1035-6345,158.76283333,-63.75511389,0.579577,0.24,2.167,2.167,0.0
531,J1035-6720,158.86449167,-67.33685889,0.002872,0.07,1.461,1.461,2.8110578716401404
532,J1036-4926,159.05467083,-49.43922222,0.510369,0.80,2.313,2.313,0.0
533,J1036-6559,159.0835,-65.98590833,0.533502,0.30,2.052,2.052,0.011449084501958433
534,J1036-8317,159.16900417,-83.29889444,0.003408,0.45,0.934,0.934,0.0
536,B1036-58,159.58208333,-58.52421667,0.661992,2.30,0.917,0.917,0.0
537,B1039-19,160.40081667,-19.70378056,1.386368,2.30,2.533,2.533,0.0
538,B1039-55,160.50202208,-55.35160917,1.170867,0.62,2.789,2.789,0.0
539,J1043-6116,160.98025417,-61.28076667,0.288605,1.39,3.055,3.055,0.0
542,J1045-4509,161.45910336,-45.16502896,0.007474,2.74,0.340,0.334,0.031796888972285844
543,J1046+0304,161.680125,3.06858333,0.326271,0.30,4.739,4.739,0.0
544,B1044-57,161.578375,-58.23111111,0.369428,1.37,2.340,2.340,0.0
545,J1047-3032,161.75338998,-30.53833367,0.330328,1.10,2.144,2.144,0.0
546,J1047-6709,161.86784167,-67.164185,0.198451,3.10,1.765,1.765,0.0
547,J1048+2339,162.18090981,23.66483453,0.004665,0.17,2.002,2.002,0.049213743788641205
549,B1046-58,162.054375,-58.53505556,0.123725,9.10,2.900,1.790,0.0
552,J1049-5833,162.45975,-58.56238889,2.202325,0.70,3.004,3.004,0.0
554,J1052-5954,163.15879167,-59.91225,0.180592,0.15,3.143,3.143,0.48303133325067177
555,J1052-6348,163.22245833,-63.80461111,0.383830,0.11,1.994,1.994,1.1990603302192622
556,J1054-5943,163.740625,-59.72058333,0.346909,0.31,2.585,2.585,0.0
557,J1054-5946,163.62691667,-59.77527778,0.228324,0.20,2.327,2.327,0.0
558,J1054-6452,163.53683333,-64.87708333,1.840004,0.25,2.342,2.342,0.0
559,J1055-6022,163.95208333,-60.38111111,0.947558,0.20,3.597,3.597,1.6139736693484277
560,J1055-6028,163.91329167,-60.47708333,0.099661,0.95,3.830,3.830,1.3941137012151241
561,J1055-6236,163.97754167,-62.61341667,0.448635,0.12,1.883,1.883,3.4158472105841335
562,J1055-6905,163.93629167,-69.0865,2.919397,0.30,2.035,2.035,0.0
563,J1056-5709,164.18245833,-57.15958333,0.676082,0.11,3.062,3.062,0.0
564,B1054-62,164.1066,-62.97991389,0.422451,34.00,2.400,2.615,0.009939952738558858
565,J1056-7117,164.19158333,-71.298165,0.026310,0.50,1.689,1.689,0.0
566,J1057-4754,164.47140833,-47.916,0.628306,0.53,0.639,0.639,0.21397142958823887
